,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
0,1979.0,50.01,96.730003,6827700.288187708,9.43,11.3
1,1979.0,50.01,97.800003,6827700.288187708,9.43,11.3
2,1979.0,50.01,98.58000200000001,6827700.288187708,9.43,11.3
3,1979.0,50.01,99.129997,6827700.288187708,9.43,11.3
4,1979.0,50.01,98.800003,6827700.288187708,9.43,11.3
5,1979.0,50.01,99.33000200000001,6827700.288187708,9.43,11.3
6,1979.0,50.01,98.769997,6827700.288187708,9.43,11.3
7,1979.0,50.01,99.099998,6827700.288187708,9.43,11.3
8,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
9,1979.0,50.01,100.690002,6827700.288187708,9.43,11.3
10,1979.0,50.01,99.459999,6827700.288187708,9.43,11.3
11,1979.0,50.01,99.480003,6827700.288187708,9.43,11.3
12,1979.0,50.01,99.720001,6827700.288187708,9.43,11.3
13,1979.0,50.01,99.75,6827700.288187708,9.43,11.3
14,1979.0,50.01,99.900002,6827700.288187708,9.43,11.3
15,1979.0,50.01,100.599998,6827700.288187708,9.43,11.3
16,1979.0,50.01,100.160004,6827700.288187708,9.43,11.3
17,1979.0,50.01,101.190002,6827700.288187708,9.43,11.3
18,1979.0,50.01,101.860001,6827700.288187708,9.43,11.3
19,1979.0,50.01,101.550003,6827700.288187708,9.43,11.3
20,1979.0,50.01,101.050003,6827700.288187708,9.43,11.3
21,1979.0,50.01,99.93,6827700.288187708,9.43,11.3
22,1979.0,50.01,99.959999,6827700.288187708,9.43,11.3
23,1979.0,50.01,99.5,6827700.288187708,9.43,11.3
24,1979.0,50.01,98.089996,6827700.288187708,9.43,11.3
25,1979.0,50.01,98.050003,6827700.288187708,9.43,11.3
26,1979.0,50.01,97.160004,6827700.288187708,9.43,11.3
27,1979.0,50.01,97.650002,6827700.288187708,9.43,11.3
28,1979.0,50.01,97.870003,6827700.288187708,9.43,11.3
29,1979.0,50.01,98.199997,6827700.288187708,9.43,11.3
30,1979.0,50.01,98.93,6827700.288187708,9.43,11.3
31,1979.0,50.01,98.870003,6827700.288187708,9.43,11.3
32,1979.0,50.01,98.730003,6827700.288187708,9.43,11.3
33,1979.0,50.01,98.66999799999999,6827700.288187708,9.43,11.3
34,1979.0,50.01,99.41999799999999,6827700.288187708,9.43,11.3
35,1979.0,50.01,99.07,6827700.288187708,9.43,11.3
36,1979.0,50.01,98.33000200000001,6827700.288187708,9.43,11.3
37,1979.0,50.01,97.779999,6827700.288187708,9.43,11.3
38,1979.0,50.01,97.66999799999999,6827700.288187708,9.43,11.3
39,1979.0,50.01,96.129997,6827700.288187708,9.43,11.3
40,1979.0,50.01,96.279999,6827700.288187708,9.43,11.3
41,1979.0,50.01,96.900002,6827700.288187708,9.43,11.3
