,index,year,s&p_eps,s&p_closing_prices,real_gdp,average_10y_yield_%,average_annual_inflation
0,7572,2009.0,60.92,931.7999880000001,15208834.0,3.26,-0.4
1,7573,2009.0,60.92,927.4500119999999,15208834.0,3.26,-0.4
2,7574,2009.0,60.92,934.7000119999999,15208834.0,3.26,-0.4
3,7575,2009.0,60.92,906.650024,15208834.0,3.26,-0.4
4,7576,2009.0,60.92,909.7299800000001,15208834.0,3.26,-0.4
5,7577,2009.0,60.92,890.349976,15208834.0,3.26,-0.4
6,7578,2009.0,60.92,870.26001,15208834.0,3.26,-0.4
7,7579,2009.0,60.92,871.7899779999999,15208834.0,3.26,-0.4
8,7580,2009.0,60.92,842.6199949999999,15208834.0,3.26,-0.4
9,7581,2009.0,60.92,843.73999,15208834.0,3.26,-0.4
10,7582,2009.0,60.92,850.1199949999999,15208834.0,3.26,-0.4
11,7583,2009.0,60.92,805.219971,15208834.0,3.26,-0.4
12,7584,2009.0,60.92,840.23999,15208834.0,3.26,-0.4
13,7585,2009.0,60.92,827.5,15208834.0,3.26,-0.4
14,7586,2009.0,60.92,831.950012,15208834.0,3.26,-0.4
15,7587,2009.0,60.92,836.570007,15208834.0,3.26,-0.4
16,7588,2009.0,60.92,845.7100220000001,15208834.0,3.26,-0.4
17,7589,2009.0,60.92,874.090027,15208834.0,3.26,-0.4
18,7590,2009.0,60.92,845.1400150000001,15208834.0,3.26,-0.4
19,7591,2009.0,60.92,825.880005,15208834.0,3.26,-0.4
20,7592,2009.0,60.92,825.4400019999999,15208834.0,3.26,-0.4
21,7593,2009.0,60.92,838.51001,15208834.0,3.26,-0.4
22,7594,2009.0,60.92,832.22998,15208834.0,3.26,-0.4
23,7595,2009.0,60.92,845.849976,15208834.0,3.26,-0.4
24,7596,2009.0,60.92,868.599976,15208834.0,3.26,-0.4
25,7597,2009.0,60.92,869.8900150000001,15208834.0,3.26,-0.4
26,7598,2009.0,60.92,827.159973,15208834.0,3.26,-0.4
27,7599,2009.0,60.92,833.73999,15208834.0,3.26,-0.4
28,7600,2009.0,60.92,835.1900019999999,15208834.0,3.26,-0.4
29,7601,2009.0,60.92,826.840027,15208834.0,3.26,-0.4
30,7602,2009.0,60.92,789.169983,15208834.0,3.26,-0.4
31,7603,2009.0,60.92,788.419983,15208834.0,3.26,-0.4
32,7604,2009.0,60.92,778.9400019999999,15208834.0,3.26,-0.4
33,7605,2009.0,60.92,770.049988,15208834.0,3.26,-0.4
34,7606,2009.0,60.92,743.330017,15208834.0,3.26,-0.4
35,7607,2009.0,60.92,773.1400150000001,15208834.0,3.26,-0.4
36,7608,2009.0,60.92,764.900024,15208834.0,3.26,-0.4
37,7609,2009.0,60.92,752.830017,15208834.0,3.26,-0.4
38,7610,2009.0,60.92,735.090027,15208834.0,3.26,-0.4
39,7611,2009.0,60.92,700.820007,15208834.0,3.26,-0.4
40,7612,2009.0,60.92,696.330017,15208834.0,3.26,-0.4
41,7613,2009.0,60.92,712.869995,15208834.0,3.26,-0.4
42,7614,2009.0,60.92,682.549988,15208834.0,3.26,-0.4
43,7615,2009.0,60.92,683.380005,15208834.0,3.26,-0.4
44,7616,2009.0,60.92,676.530029,15208834.0,3.26,-0.4
45,7617,2009.0,60.92,719.599976,15208834.0,3.26,-0.4
